,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.43305255156826156,6.8,0
1,बाघ,बाघ,0.5996534732116199,7.0,0
2,किताब,किताब,0.6407840596167474,7.6,0
3,कंप्यूटर,कंप्यूटर,0.6321789173646061,7.6,0
4,कंप्यूटर,कंप्यूटर,0.7983269038764391,8.0,0
5,विमान,विमान,0.716845421573339,6.0,0
6,रेलगाड़ी,रेलगाड़ी,0.6551093580696057,6.2,0
7,टेलीफोन,टेलीफोन,0.5788380860275756,7.6,0
8,टेलीविजन,टेलीविजन,0.7840642087928097,6.4,0
9,मीडिया,मीडिया,0.6534088872812674,5.8,0
10,ब्रेड,ब्रेड,0.6941811266461263,6.6,0
11,खीरा,खीरा,0.6759384410546391,5.8,0
12,चिकित्सक,चिकित्सक,0.7424001615115942,7.6,0
13,प्रोफ़ेसर,प्रोफ़ेसर,0.5708070919917192,4.6,0
14,छात्र,छात्र,0.527125508755739,7.0,0
15,होशियार,होशियार,0.4578795249114899,5.2,0
16,होशियार,होशियार,0.6331541638269977,6.2,0
17,किताब,किताब,0.4834225083043184,7.6,0
18,बैंक,बैंक,0.6667359443842782,8.0,0
19,लकड़ी,लकड़ी,0.6436089425758054,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,-0.010984559597152726,0.0,1
21,राजा,राजा,0.7502501604213008,8.2,0
22,बिशप,बिशप,0.0767589888378992,7.0,0
23,यरूशलेम,यरूशलेम,0.5481491859986948,7.8,0
24,पवित्र,पवित्र,0.4157187957846369,1.0,0
25,माराडोना,माराडोना,0.40781555237806666,7.8,0
26,फ़ुटबॉल,फ़ुटबॉल,0.7987559478759984,9.0,0
27,फ़ुटबॉल,फ़ुटबॉल,0.6704593460826133,6.4,0
28,फ़ुटबॉल,फ़ुटबॉल,0.6750377953592468,5.8,0
29,टेनिस,टेनिस,0.4488102224094882,7.4,0
30,कानून,कानून,0.6453000409807624,7.8,0
31,चलचित्र,चलचित्र,0.16246275004196156,6.6,0
32,चलचित्र,चलचित्र,0.41310377892344363,6.6,0
33,चलचित्र,चलचित्र,0.5338535630086322,8.4,0
34,पीना,पीना,0.24715871286679053,1.4,0
35,पीना,पीना,0.437661057301911,0.4,1
36,पीना,पीना,0.4646349850259818,7.0,0
37,बच्चा,बच्चा,0.7309494708307288,7.2,0
38,पीना,पीना,0.4227932408837874,1.8,0
39,मणि,मणि,0.3514596796963712,6.8,0
40,भट्ठी,भट्ठी,0.6328404566957587,8.4,0
41,भोजन,भोजन,0.7645974623477272,6.6,0
42,पक्षी,पक्षी,0.7725168251616216,7.4,0
43,भाई,भाई,0.4921555571843182,1.4,0
44,यात्रा,यात्रा,0.5762995881376023,6.2,0
45,साधु,साधु,0.333901067673915,0.2,1
46,कांच,कांच,0.3326064134283916,2.0,0
47,पैसे,पैसे,0.6116830587554432,8.6,0
48,पैसे,पैसे,0.7875886551570934,9.2,0
49,पैसे,पैसे,0.6881062616732143,8.4,0
50,पैसे,पैसे,0.6667359443842782,8.2,0
51,पैसे,पैसे,0.7138369207216311,6.6,0
52,पैसे,पैसे,0.353685602829275,2.6,0
53,बाघ,बाघ,0.2737265808139705,8.0,0
54,बाघ,बाघ,0.7750575951461415,7.6,0
55,बाघ,बाघ,0.641207387885511,6.8,0
56,मनोविज्ञान,मनोविज्ञान,0.43711064330432176,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.32987273418245466,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.4416730809692209,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.45317760398999896,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.6010799296218425,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.3808667778816795,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.5971482020670135,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.8304848531739679,7.0,1
64,मनोविज्ञान,मनोविज्ञान,0.6143223472503144,4.2,0
