,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.29072815,6.8,0
1,बाघ,बाघ,0.495231,7.0,0
2,किताब,किताब,0.49751517,7.6,0
3,कंप्यूटर,कंप्यूटर,0.71095294,7.6,1
4,कंप्यूटर,कंप्यूटर,0.75766927,8.0,1
5,विमान,विमान,0.5671211,6.0,1
6,रेलगाड़ी,रेलगाड़ी,0.63803333,6.2,1
7,टेलीफोन,टेलीफोन,0.38968208,7.6,0
8,टेलीविजन,टेलीविजन,0.7579632,6.4,1
9,मीडिया,मीडिया,0.38633537,5.8,0
10,ब्रेड,ब्रेड,0.7405226,6.6,1
11,खीरा,खीरा,0.7609177,5.8,1
12,चिकित्सक,चिकित्सक,0.68155,7.6,1
13,प्रोफ़ेसर,प्रोफ़ेसर,0.41837063,4.6,0
14,छात्र,छात्र,0.4117802,7.0,0
15,होशियार,होशियार,0.095893,5.2,0
16,होशियार,होशियार,0.56651634,6.2,1
17,किताब,किताब,0.27171654,7.6,0
18,बैंक,बैंक,0.37189344,8.0,0
19,लकड़ी,लकड़ी,0.4945584,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,0.019245502,0.0,1
21,राजा,राजा,0.6203163,8.2,1
22,बिशप,बिशप,-0.079204954,7.0,0
23,यरूशलेम,यरूशलेम,0.47728086,7.8,0
24,पवित्र,पवित्र,0.09219294,1.0,0
25,माराडोना,माराडोना,0.6648806,7.8,1
26,फ़ुटबॉल,फ़ुटबॉल,0.8329903,9.0,1
27,फ़ुटबॉल,फ़ुटबॉल,0.7287213,6.4,1
28,फ़ुटबॉल,फ़ुटबॉल,0.729095,5.8,1
29,टेनिस,टेनिस,0.26880577,7.4,0
30,कानून,कानून,0.34623492,7.8,0
31,चलचित्र,चलचित्र,0.183844,6.6,0
32,चलचित्र,चलचित्र,0.22521238,6.6,0
33,चलचित्र,चलचित्र,0.4249257,8.4,0
34,पीना,पीना,0.0063237366,1.4,0
35,पीना,पीना,0.08611554,0.4,1
36,पीना,पीना,0.18902437,7.0,0
37,बच्चा,बच्चा,0.48811588,7.2,0
38,पीना,पीना,0.17110488,1.8,0
39,मणि,मणि,0.2907708,6.8,0
40,भट्ठी,भट्ठी,0.7090318,8.4,1
41,भोजन,भोजन,0.5576592,6.6,1
42,पक्षी,पक्षी,0.8298598,7.4,1
43,भाई,भाई,0.19574223,1.4,0
44,यात्रा,यात्रा,0.3094047,6.2,0
45,साधु,साधु,0.18205594,0.2,1
46,कांच,कांच,0.25605243,2.0,0
47,पैसे,पैसे,0.21680492,8.6,0
48,पैसे,पैसे,0.6089306,9.2,1
49,पैसे,पैसे,0.41085202,8.4,0
50,पैसे,पैसे,0.37189344,8.2,0
51,पैसे,पैसे,0.3572857,6.6,0
52,पैसे,पैसे,0.09393737,2.6,0
53,बाघ,बाघ,0.21166876,8.0,0
54,बाघ,बाघ,0.6607554,7.6,1
55,बाघ,बाघ,0.57817703,6.8,1
56,मनोविज्ञान,मनोविज्ञान,0.13594137,6.2,0
57,मनोविज्ञान,मनोविज्ञान,-0.08221646,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.27985334,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.2257648,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.38230035,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.20537527,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.37996274,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.7578862,7.0,1
64,मनोविज्ञान,मनोविज्ञान,0.45841068,4.2,0
