,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.38873428,6.8,0
1,बाघ,बाघ,0.6253619,7.0,0
2,किताब,किताब,0.575613,7.6,0
3,कंप्यूटर,कंप्यूटर,0.6722089,7.6,0
4,कंप्यूटर,कंप्यूटर,0.7179461,8.0,0
5,विमान,विमान,0.6394353,6.0,0
6,रेलगाड़ी,रेलगाड़ी,0.66529375,6.2,0
7,टेलीफोन,टेलीफोन,0.54798496,7.6,0
8,टेलीविजन,टेलीविजन,0.7466255,6.4,0
9,मीडिया,मीडिया,0.5544226,5.8,0
10,ब्रेड,ब्रेड,0.7311729,6.6,0
11,खीरा,खीरा,0.8271246,5.8,1
12,चिकित्सक,चिकित्सक,0.7021423,7.6,0
13,प्रोफ़ेसर,प्रोफ़ेसर,0.5318654,4.6,0
14,छात्र,छात्र,0.49318942,7.0,0
15,होशियार,होशियार,0.37200198,5.2,0
16,होशियार,होशियार,0.6193172,6.2,0
17,किताब,किताब,0.44632968,7.6,0
18,बैंक,बैंक,0.48500565,8.0,0
19,लकड़ी,लकड़ी,0.52881795,7.0,0
20,प्रोफ़ेसर,प्रोफ़ेसर,0.085790716,0.0,1
21,राजा,राजा,0.6694445,8.2,0
22,बिशप,बिशप,0.083312675,7.0,0
23,यरूशलेम,यरूशलेम,0.49838474,7.8,0
24,पवित्र,पवित्र,0.24258062,1.0,0
25,माराडोना,माराडोना,0.69303024,7.8,0
26,फ़ुटबॉल,फ़ुटबॉल,0.8426072,9.0,1
27,फ़ुटबॉल,फ़ुटबॉल,0.7249079,6.4,0
28,फ़ुटबॉल,फ़ुटबॉल,0.7415845,5.8,0
29,टेनिस,टेनिस,0.49736348,7.4,0
30,कानून,कानून,0.5364931,7.8,0
31,चलचित्र,चलचित्र,0.4021348,6.6,0
32,चलचित्र,चलचित्र,0.31900096,6.6,0
33,चलचित्र,चलचित्र,0.48183665,8.4,0
34,पीना,पीना,0.20415077,1.4,0
35,पीना,पीना,0.31792906,0.4,1
36,पीना,पीना,0.4266375,7.0,0
37,बच्चा,बच्चा,0.56983745,7.2,0
38,पीना,पीना,0.23757939,1.8,0
39,मणि,मणि,0.38758627,6.8,0
40,भट्ठी,भट्ठी,0.7105972,8.4,0
41,भोजन,भोजन,0.5895434,6.6,0
42,पक्षी,पक्षी,0.8236675,7.4,1
43,भाई,भाई,0.316379,1.4,0
44,यात्रा,यात्रा,0.4361548,6.2,0
45,साधु,साधु,0.2954923,0.2,1
46,कांच,कांच,0.35351256,2.0,0
47,पैसे,पैसे,0.4165175,8.6,0
48,पैसे,पैसे,0.6511806,9.2,0
49,पैसे,पैसे,0.5552644,8.4,0
50,पैसे,पैसे,0.48500565,8.2,0
51,पैसे,पैसे,0.48784852,6.6,0
52,पैसे,पैसे,0.27800915,2.6,0
53,बाघ,बाघ,0.47807044,8.0,0
54,बाघ,बाघ,0.7266578,7.6,0
55,बाघ,बाघ,0.686278,6.8,0
56,मनोविज्ञान,मनोविज्ञान,0.35351083,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.22118135,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.40242168,7.0,0
59,मनोविज्ञान,मनोविज्ञान,0.4525316,6.4,0
60,मनोविज्ञान,मनोविज्ञान,0.5112589,7.0,0
61,मनोविज्ञान,मनोविज्ञान,0.402297,7.4,0
62,मनोविज्ञान,मनोविज्ञान,0.5202593,6.2,0
63,मनोविज्ञान,मनोविज्ञान,0.79544747,7.0,0
64,मनोविज्ञान,मनोविज्ञान,0.54558074,4.2,0
