,word1,word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,मोहब्बत,0.41127455,6.8,1
1,बाघ,बाघ,0.69748926,7.0,1
2,किताब,किताब,0.59858906,7.6,1
3,कंप्यूटर,कंप्यूटर,0.7530077,7.6,1
4,कंप्यूटर,कंप्यूटर,0.8131585,8.0,1
5,विमान,विमान,0.7014315,6.0,1
6,रेलगाड़ी,रेलगाड़ी,0.66532534,6.2,1
7,टेलीफोन,टेलीफोन,0.61139876,7.6,1
8,टेलीविजन,टेलीविजन,0.8476101,6.4,1
9,मीडिया,मीडिया,0.6366761,5.8,1
10,ब्रेड,ब्रेड,0.76808834,6.6,1
11,खीरा,खीरा,0.8642041,5.8,1
12,चिकित्सक,चिकित्सक,0.7309512,7.6,1
13,प्रोफ़ेसर,प्रोफ़ेसर,0.6190772,4.6,1
14,छात्र,छात्र,0.5580414,7.0,1
15,होशियार,होशियार,0.51301724,5.2,1
16,होशियार,होशियार,0.61532956,6.2,1
17,किताब,किताब,0.5099878,7.6,1
18,बैंक,बैंक,0.589345,8.0,1
19,लकड़ी,लकड़ी,0.6346298,7.0,1
20,प्रोफ़ेसर,प्रोफ़ेसर,0.15091772,0.0,1
21,राजा,राजा,0.75254565,8.2,1
22,बिशप,बिशप,0.117243215,7.0,0
23,यरूशलेम,यरूशलेम,0.57632667,7.8,1
24,पवित्र,पवित्र,0.2694661,1.0,0
25,माराडोना,माराडोना,0.7882922,7.8,1
26,फ़ुटबॉल,फ़ुटबॉल,0.8880375,9.0,1
27,फ़ुटबॉल,फ़ुटबॉल,0.783749,6.4,1
28,फ़ुटबॉल,फ़ुटबॉल,0.8265294,5.8,1
29,टेनिस,टेनिस,0.57452,7.4,1
30,कानून,कानून,0.545571,7.8,1
31,चलचित्र,चलचित्र,0.3934198,6.6,0
32,चलचित्र,चलचित्र,0.38334176,6.6,0
33,चलचित्र,चलचित्र,0.65069896,8.4,1
34,पीना,पीना,0.4159302,1.4,1
35,पीना,पीना,0.49196365,0.4,1
36,पीना,पीना,0.523112,7.0,1
37,बच्चा,बच्चा,0.5782908,7.2,1
38,पीना,पीना,0.4072491,1.8,1
39,मणि,मणि,0.47731242,6.8,1
40,भट्ठी,भट्ठी,0.7744543,8.4,1
41,भोजन,भोजन,0.69638604,6.6,1
42,पक्षी,पक्षी,0.9142485,7.4,1
43,भाई,भाई,0.40118277,1.4,1
44,यात्रा,यात्रा,0.48428768,6.2,1
45,साधु,साधु,0.29473448,0.2,1
46,कांच,कांच,0.45029667,2.0,1
47,पैसे,पैसे,0.54985374,8.6,1
48,पैसे,पैसे,0.673179,9.2,1
49,पैसे,पैसे,0.6241676,8.4,1
50,पैसे,पैसे,0.589345,8.2,1
51,पैसे,पैसे,0.6243772,6.6,1
52,पैसे,पैसे,0.42037576,2.6,1
53,बाघ,बाघ,0.5031123,8.0,1
54,बाघ,बाघ,0.7669291,7.6,1
55,बाघ,बाघ,0.73636246,6.8,1
56,मनोविज्ञान,मनोविज्ञान,0.38289475,6.2,0
57,मनोविज्ञान,मनोविज्ञान,0.24902561,5.2,0
58,मनोविज्ञान,मनोविज्ञान,0.5321744,7.0,1
59,मनोविज्ञान,मनोविज्ञान,0.5237719,6.4,1
60,मनोविज्ञान,मनोविज्ञान,0.6241836,7.0,1
61,मनोविज्ञान,मनोविज्ञान,0.4440145,7.4,1
62,मनोविज्ञान,मनोविज्ञान,0.5524333,6.2,1
63,मनोविज्ञान,मनोविज्ञान,0.84899795,7.0,1
64,मनोविज्ञान,मनोविज्ञान,0.65861535,4.2,1
